kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,10778.0,300.0,117.0,0.0,2.0,0.0,0.0,7689.805,6116.4310000000005,0.0,2.5641025641025643
NINJA,99535.0,1678.0,2572.0,3.0,365.0,16.0,213.0,166927.53499999997,78405.23100000003,0.0,0.6524105754276828
ENGINEER,2586.0,20.0,13.0,0.0,3.0,3.0,63.0,1336.3120000000001,1129.944,0.0,1.5384615384615385
HEAVY,25989.0,221.0,53.0,1.0,30.0,13.0,276.0,21230.529000000002,15369.494000000002,0.0,4.169811320754717
PYRO,908748.0,18643.0,5706.0,22.0,4277.0,26.0,852.0,807847.0099999988,788024.7789999996,0.0,3.2672625306694707
CHEMIST,6432.0,78.0,35.0,1.0,14.0,3.0,27.0,5651.259000000002,4448.915,0.0,2.2285714285714286
MEDIC,37029.0,287.0,161.0,0.0,58.0,18.0,237.0,20097.096999999998,28251.392999999996,46970.0,1.7826086956521738
SOLDIER,25627.0,327.0,238.0,10.0,38.0,68.0,2473.0,31456.782999999996,28986.054999999997,0.0,1.3739495798319328
SCOUT,654.0,1.0,4.0,0.0,0.0,0.0,0.0,4.559,35.5,0.0,0.25
MAGE,11499.0,129.0,123.0,0.0,12.0,2.0,6.0,12087.853,7907.153,0.0,1.048780487804878
FASHIONISTA,744.0,5.0,3.0,0.0,0.0,0.0,0.0,153.367,304.879,0.0,1.6666666666666667
ASSASSIN,88231.0,2529.0,2382.0,0.0,369.0,10.0,36.0,66881.93699999998,60166.128,0.0,1.061712846347607
ELF,764.0,10.0,3.0,1.0,2.0,1.0,103.0,430.15299999999996,289.911,0.0,3.3333333333333335
NECRO,8647.0,274.0,82.0,0.0,4.0,5.0,163.0,11999.033,12549.728,221.0,3.341463414634146
DWARF,331.0,9.0,1.0,0.0,1.0,0.0,0.0,341.945,234.399,0.0,9.0
